"ID (a)" "Genes (b)" "num (c) " "neg|score (d)" "neg|p-value (e) " "neg|fdr (f)" "neg|rank (g)" "neg|goodsgrna (h)" "neg|lfc (i)" "pos|score (j)" "pos|p-value (k)" "pos|fdr (l)" "pos|rank (m)" "pos|goodsgrna (n)" "pos|lfc (o)"
ENSG00000239857 GET4 30 1 1 1 18459 0 2.2828 3.71E-39 2.62E-07 1.40E-05 1 24 2.2828
ENSG00000204463 BAG6 30 0.99993 1 1 18421 2 2.0335 1.46E-33 2.62E-07 1.40E-05 2 27 2.0335
ENSG00000109332 UBE2D3 30 0.31678 0.80206 1 10537 4 1.7924 3.99E-28 2.62E-07 1.40E-05 3 22 1.7924
ENSG00000100104 SRRD 30 1 1 1 18463 0 1.8228 1.53E-25 2.62E-07 1.40E-05 4 24 1.8228
ENSG00000154813 DPH3 30 0.30575 0.79314 1 10346 4 2.02 3.91E-25 2.62E-07 1.40E-05 5 22 2.02
ENSG00000204120 GIGYF2 30 0.99998 1 1 18433 1 1.5587 5.68E-25 2.62E-07 1.40E-05 6 26 1.5587
ENSG00000198925 ATG9A 30 0.99585 0.99991 1 18255 2 1.4537 1.63E-24 2.62E-07 1.40E-05 7 26 1.4537
ENSG00000145912 NHP2 30 0.98061 0.99951 1 18011 3 1.3362 4.02E-24 2.62E-07 1.40E-05 8 26 1.3362
ENSG00000163659 TIPARP 30 1 1 1 18464 0 1.338 5.87E-24 2.62E-07 1.40E-05 9 27 1.338
ENSG00000135930 EIF4E2 30 0.079448 0.41137 1 5302 5 1.5094 9.54E-24 2.62E-07 1.40E-05 10 24 1.5094
ENSG00000138231 DBR1 30 0.99986 0.99999 1 18407 2 1.8668 9.34E-23 2.62E-07 1.40E-05 11 25 1.8668
ENSG00000184787 UBE2G2 30 0.99364 0.99986 1 18205 3 1.5382 2.05E-22 2.62E-07 1.40E-05 12 25 1.5382
ENSG00000132773 TOE1 30 0.99995 1 1 18425 1 1.3663 3.30E-21 2.62E-07 1.40E-05 13 23 1.3663
ENSG00000152684 PELO 30 1 1 1 18447 0 1.5957 4.76E-21 2.62E-07 1.40E-05 14 26 1.5957
ENSG00000115307 AUP1 30 0.38902 0.85175 1 11649 7 1.3379 1.50E-20 2.62E-07 1.40E-05 15 21 1.3379
ENSG00000149547 EI24 30 1 1 1 18451 0 1.3555 2.59E-19 2.62E-07 1.40E-05 16 26 1.3555
